,Target.Location.lat,Target.Location.lon,Target.Identification.cdifid,Target.Identification.number,Target.Identification.description,Target.Detection.detecttime,Target.Detection.classification
53472,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/30 14:22:20,Seismic People
53473,2.01614,45.31002,25.0.0.247,Iridium Ranger 10247,Iridium Ranger 10247,2022/12/30 14:54:27,Seismic People
53476,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/30 15:11:04,Seismic People
53482,-1.20512,41.27044,25.0.0.249,Iridium Ranger 10249,Iridium Ranger 10249,2022/12/30 16:04:51,Seismic People
53483,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/30 16:07:04,Seismic People
53488,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/30 16:43:33,Seismic People
53506,2.01614,45.31002,25.0.0.247,Iridium Ranger 10247,Iridium Ranger 10247,2022/12/30 15:28:24,Seismic People
53509,2.01614,45.31002,25.0.0.247,Iridium Ranger 10247,Iridium Ranger 10247,2022/12/30 15:26:07,Seismic People
53564,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 03:39:08,Seismic People
53565,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 03:43:08,Seismic People
53566,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 03:45:06,Human Voice
53568,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 03:57:02,Human Voice
53572,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:00:08,Human Voice
53575,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:38:03,Seismic People
53576,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:36:52,Human Voice
53577,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:36:24,Human Voice
53578,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:35:36,Human Voice
53579,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:35:05,Human Voice
53580,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:33:09,Human Voice
53581,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:32:41,Human Voice
53582,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:32:03,Human Voice
53583,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:31:11,Human Voice
53584,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:30:28,Human Voice
53585,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:28:27,Human Voice
53586,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:22:27,Seismic People
53588,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:52:39,Human Voice
53590,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:53:42,Human Voice
53591,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:54:15,Human Voice
53592,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 04:59:02,Human Voice
53593,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 05:01:35,Human Voice
53595,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 05:04:51,Human Voice
53596,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 05:07:37,Human Voice
53597,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 05:08:06,Human Voice
53599,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 05:10:13,Human Voice
53600,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 05:12:15,Human Voice
53604,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 05:40:34,Human Voice
53618,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 07:36:55,Seismic People
53624,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 08:11:41,Human Voice
53637,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 10:00:47,Seismic People
53639,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 10:32:27,Human Voice
53649,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 11:50:30,Human Voice
53654,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 12:13:59,Seismic People
53655,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 12:19:25,Seismic People
53656,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 12:26:50,Seismic People
53658,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 12:36:14,Seismic People
53659,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 12:50:58,Seismic People
53662,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 13:01:38,Seismic People
53663,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 13:02:42,Seismic People
53665,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 13:05:24,Seismic People
